text,category
PVR Arcade ka payment urgent purchase weekend,Entertainment
INOX Movie bhar diya in Agra yesterday,Entertainment
Croma Jeans se mangaya in Mumbai,Shopping
Shampoo monthly Nike,Shopping
Room Rent from House during trip afternoon,Rent
Gaming using Steam evening,Entertainment
Westside Pen ka bill using cash,Shopping
Metro Shoes Earbuds bhar diya using debit card,Shopping
Netflix Subscription mangaya using upi in Pune,Entertainment
Arcade bought PlayStation Store in Agra weekend,Entertainment
PG Flat Rent ke liye payment using debit card,Rent
Saree today Metro Shoes evening,Shopping
Petrol Pump Auto order kiya using paytm during trip yesterday,Travel
House Room Rent ka payment using upi in Hyderabad,Rent
Momos order Bikanervala for family night,Food
Oven Story Pav Bhaji recharge kiya using debit card for hostel,Food
Shopping Mall Lunch Box bhar diya using credit card yesterday,Shopping
PlayStation Store Concert mangaya using credit card,Entertainment
Ice Cream recharge Theobroma using gpay month end,Food
Train Ticket bought AbhiBus morning weekend,Travel
Reebok T Shirt ka bill,Shopping
Diesel via Petrol Pump in Mumbai,Travel
Adidas Phone Charger ka payment using upi,Shopping
PVR Movie Ticket liya in Agra,Entertainment
Petrol recharge Ola exam week afternoon,Travel
Bread from Swiggy using upi in Lucknow,Food
Samsung Store Pen bhar diya,Shopping
Epic Games Bowling recharge kiya,Entertainment
Yatra Diesel bhar diya using debit card evening morning,Travel
Gas Agency Recharge pe khaya exam week,Bills
Room Room Rent se liya in Pune for college,Rent
Pav Bhaji yesterday Zepto using upi,Food
Internet Bill shopping Water Department using phonepe exam week weekend,Bills
IRCTC Auto liya using upi for family,Travel
Steam Movie Ticket recharge kiya,Entertainment
Saree weekly Ajio using credit card,Shopping
Excitel Water Bill mangaya in Hyderabad night,Bills
Gas Bill via BSNL using paytm in Noida for hostel,Bills
Bread monthly Chaayos using cash hostel life weekend,Food
Earbuds using Nykaa Fashion hostel life,Shopping
Lunch purchased Zepto urgent purchase,Food
Concert monthly PlayStation Store,Entertainment
Fastag Auto ka payment using paytm for family,Travel
Steam Movie Ticket bharwaya in Pune,Entertainment
Box8 Pizza book ki using cash,Food
Bikanervala Butter order kiya using upi in Noida hostel life,Food
Parking booking Petrol Pump morning,Travel
Noodles order Restaurant in Pune,Food
Coffee monthly Spencer using debit card in Jaipur,Food
Hostel PG Rent pe gaya using credit card after class,Rent
Nykaa Keyboard diya using phonepe today,Shopping
Bread paid for Oven Story,Food
Pizza via Local Dhaba using phonepe in Hyderabad daily expense,Food
Chocolate yesterday Pizza Hut using credit card month end,Food
Steam Arcade mangaya using debit card in Mumbai,Entertainment
Paneer bill Oven Story using cash during vacation weekend,Food
Electricity Bill subscription HDFC using phonepe,Bills
Movie Ticket this week Prime Video using upi in Lucknow month end,Entertainment
Mouse food Meesho using phonepe for office,Shopping
Hostel House Rent kharida for family weekend,Rent
EMI today Credit Card using cash in Pune for office today,Bills
INOX Movie bharwaya in Noida,Entertainment
Xbox Subscription bharwaya during vacation,Entertainment
Goibibo Flight Ticket bhar diya using paytm morning,Travel
Society Room Rent pe gaya using gpay,Rent
Saree weekly Boat,Shopping
Internet Bill bill Airtel using phonepe monthly,Bills
Snacks shopping Instamart using paytm,Food
Tea Theobroma using gpay,Food
Paratha purchased Subway with friends,Food
Gas Bill recharge Water Department using paytm during vacation,Bills
Maintenance today Hostel using upi,Rent
Pantaloons Makeup Kit pe khaya,Shopping
Books bought Samsung Store with friends month end,Shopping
Eggs yesterday JioMart late night,Food
JioCinema Movie Ticket diya,Entertainment
Room Maintenance ke liye payment in Pune evening,Rent
Dosa purchased Subway in Bangalore with friends afternoon,Food
KFC Butter bhar diya,Food
Credit Card Bill order BSNL,Bills
Fruits yesterday Spencer using paytm in Bangalore,Food
Spencer Poha pe gaya using cash,Food
Evening Snacks today Barista using upi monthly,Food
Concert from Steam late night,Entertainment
Credit Card Bill using Water Department evening today,Bills
Security Deposit booking House in Noida night,Rent
Bowling food Steam in Noida birthday,Entertainment
Insurance monthly Gas Agency night,Bills
T Shirt this month Shopping Mall using credit card in Bangalore morning,Shopping
Epic Games Movie Ticket ka bill,Entertainment
Train Ticket recharge AbhiBus exam week,Travel
Akasa Bus Ticket se mangaya in Hyderabad for hostel morning,Travel
Society Room Rent pe gaya late night evening,Rent
Metro Toll Tax mangaya morning,Travel
Security Deposit paid for Society in Delhi late night,Rent
Tata Cliq Lunch Box ka bill using phonepe during vacation,Shopping
Yatra Flight Ticket order kiya today,Travel
Parking paid for Rapido using paytm,Travel
Bus Ticket this month Metro using upi in Pune,Travel
Pav Bhaji shopping Haldirams with friends,Food
Lipstick Westside in Noida after class month end,Shopping
Spotify Subscription pe gaya using debit card,Entertainment
Tata Cliq Gift se mangaya morning evening,Shopping
OnePlus Store Books ka payment using phonepe during vacation,Shopping
Netflix Movie order kiya with friends,Entertainment
Broadband Broadband Bill liya in Mumbai,Bills
Jio Internet Bill pe khaya using phonepe,Bills
Tea bought Subway using phonepe yesterday,Food
Lunch Box food Croma using credit card,Shopping
Earbuds at Amazon using cash exam week morning,Shopping
House Room Rent kharida in Jaipur after class,Rent
Society PG Rent se mangaya in Hyderabad after class,Rent
Reliance Fresh Biscuits ka payment using debit card in Delhi,Food
Milk purchased Spencer afternoon,Food
EMI expense Excitel using debit card in Agra,Bills
SpiceJet Parking bharwaya using upi,Travel
Security Deposit monthly House using upi,Rent
Diesel expense MakeMyTrip using gpay,Travel
CCD Cold Coffee monthly payment in Bangalore,Food
Parking from Air India,Travel
Vegetables yesterday Chaayos using gpay,Food
Ice Cream purchased Wow Momo,Food
PlayStation Store Music ke liye payment using cash in Noida late night,Entertainment
ola Bus Ticket se liya yesterday,Travel
PG Rent food PG using phonepe in Agra,Rent
Reliance Jio Gas Bill order kiya using credit card in Agra,Bills
Ice Cream bill Local Dhaba using debit card weekend,Food
Starbucks Rajma Chawal bhar diya using paytm,Food
Arcade purchase Steam using phonepe in Noida,Entertainment
Petrol bill Goibibo,Travel
Dinner bill CCD using credit card in Bangalore festival shopping,Food
McDonalds Roll pe khaya urgent purchase afternoon,Food
Jeans at Nykaa Fashion birthday,Shopping
AbhiBus Taxi bharwaya,Travel
Broadband Bill order Electricity Board,Bills
Flat Rent at Hostel exam week,Rent
Adidas USB Cable kharida for hostel,Shopping
Excitel Recharge ke liye payment using cash,Bills
Toll Tax expense uber,Travel
Xbox Bowling order kiya today,Entertainment
Eggs weekly More Supermarket daily expense,Food
Gas Bill this week Excitel in Lucknow,Bills
Broadband EMI liya using upi for college weekend,Bills
Gaming yesterday JioCinema,Entertainment
Laptop at Lifestyle using paytm in Hyderabad late night,Shopping
Bowling food Steam morning,Entertainment
Parking Fastag Recharge se liya using credit card in Lucknow festival shopping,Travel
Rapido Auto book ki weekend,Travel
Maintenance booking Hostel,Rent
Spotify Gaming kharida,Entertainment
Pen bill Mi Store evening,Shopping
Metro Parking monthly payment for hostel,Travel
PlayStation Store Gaming recharge kiya evening,Entertainment
Recharge subscription Water Department monthly,Bills
Pantaloons Hoodie mangaya using debit card weekend,Shopping
Saree payment Apple Store using credit card weekend,Shopping
Room PG Rent bhar diya exam week,Rent
Indigo Metro Ticket pe gaya in Delhi evening,Travel
Pav Bhaji payment Oven Story using paytm morning,Food
Petrol Pump Bus Ticket ka payment using credit card morning,Travel
Books from Shopping Mall,Shopping
Hostel Mess Dinner mangaya for office,Food
PG Rent House using upi,Rent
Theobroma Sandwich recharge kiya using debit card evening,Food
Lassi expense EatFit in Jaipur morning morning,Food
Milk monthly Box8 in Jaipur,Food
Gift via Croma in Pune hostel life,Shopping
Jacket subscription Reliance Digital evening,Shopping
HDFC Recharge ka bill using credit card morning,Bills
Parking order AbhiBus using phonepe afternoon,Travel
Petrol yesterday Akasa in Jaipur,Travel
Toll Tax subscription Uber,Travel
Headphones payment Ajio using upi,Shopping
Cab paid for Fastag using debit card weekend,Travel
Petrol yesterday Rapido with friends,Travel
Movie Ticket weekly Prime Video urgent purchase,Entertainment
Excitel Water Bill mangaya using credit card,Bills
Biscuits monthly Barista in Mumbai during vacation,Food
Uber Parking ka bill using cash,Travel
Apartment Room Rent se liya in Bangalore yesterday,Rent
Uber Diesel bhar diya for hostel morning,Travel
Steam Subscription book ki birthday morning,Entertainment
Gas Bill SBI using upi morning month end,Bills
Air India Parking monthly payment using credit card evening,Travel
Room Hostel Fee book ki using gpay weekend,Rent
Society Room Rent order kiya for college,Rent
Recharge purchase ACT Fiber,Bills
CCD Groceries bharwaya in Delhi,Food
Concert this month Steam using paytm with friends,Entertainment
Dosa purchase McDonalds using cash,Food
IPL Ticket payment Disney Hotstar using upi in Jaipur for family afternoon,Entertainment
Evening Snacks yesterday Bikanervala using phonepe in Mumbai,Food
Fastag Toll Tax bharwaya,Travel
Toll Tax purchase AbhiBus,Travel
Shoppers Stop Hoodie ke liye payment using paytm for hostel,Shopping
Fastag Recharge monthly RedBus using cash during trip weekend,Travel
Earbuds this month Woodland after class,Shopping
Chole Bhature order Wow Momo using gpay for college,Food
Parking Metro Ticket liya in Noida,Travel
Music via INOX in Lucknow,Entertainment
Perfume booking Local Market afternoon,Shopping
Hostel Fee purchase PG in Pune,Rent
Reebok Books pe khaya,Shopping
Credit Card Internet Bill kharida,Bills
Zomato Dal Rice se mangaya weekend evening,Food
Juice purchase Behrouz using debit card,Food
Mess Paneer kharida today,Food
Lunch Box at Shoppers Stop using paytm monthly night,Shopping
BigBasket Breakfast order kiya using cash in Bangalore after class,Food
Hoodie Noise,Shopping
Lipstick this month Metro Shoes in Delhi,Shopping
Subway Fruits book ki weekend,Food
Room Room Rent se mangaya using debit card exam week,Rent
AbhiBus Train Ticket book ki using phonepe,Travel
SBI Broadband Bill book ki,Bills
Momos this week Zepto using debit card,Food
Theobroma Milk mangaya using phonepe,Food
Faasos Noodles mangaya using gpay evening,Food
Society House Rent ke liye payment using credit card,Rent
Tata Cliq Watch bharwaya,Shopping
Max Fashion Speaker liya using phonepe,Shopping
PVR Music kharida for office,Entertainment
Monitor weekly Boat,Shopping
Electricity Bill this week ACT Fiber,Bills
Chaayos Roll diya in Mumbai exam week morning,Food
Coffee this week Bikanervala using gpay,Food
Phone Charger subscription Local Market using upi birthday,Shopping
BSNL Recharge ke liye payment,Bills
Jio Credit Card Bill mangaya,Bills
Butter expense EatFit in Bangalore month end,Food
Security Deposit expense Room,Rent
Chocolate this month Subway using credit card,Food
Blinkit Biscuits liya,Food
Pizza Star Bazaar using phonepe weekend,Food
Yatra Fastag Recharge book ki using gpay in Jaipur,Travel
Smoothie booking Theobroma today,Food
Internet Bill monthly Jio using paytm urgent purchase evening,Bills
PG Rent this month PG in Jaipur,Rent
Epic Games Music kharida for hostel,Entertainment
Water Bill this month Vi afternoon,Bills
Noodles recharge EatFit,Food
Flat Hostel Fee recharge kiya using gpay for college afternoon,Rent
Watch expense FireBoltt using phonepe in Agra after class,Shopping
Diesel purchased AbhiBus,Travel
Fastag Recharge bought IRCTC late night afternoon,Travel
Broadband Bill shopping Vi monthly,Bills
Ice Cream Local Dhaba using upi morning,Food
Dominos Dinner liya,Food
Flat PG Rent liya for office,Rent
House Flat Rent monthly payment using phonepe in Noida yesterday,Rent
Netflix Subscription ke liye payment using paytm,Entertainment
Sandwich bought McDonalds today,Food
Broadband Water Bill bhar diya during trip weekend,Bills
House Hostel Fee mangaya using paytm night,Rent
Flight Ticket subscription AbhiBus using debit card exam week,Travel
PVR Concert monthly payment,Entertainment
Bus Ticket using IRCTC after class,Travel
Haldirams Chole Bhature order kiya yesterday,Food
Poha bill Chaayos,Food
Airtel Credit Card Bill diya,Bills
Uber Petrol ke liye payment for family,Travel
Concert expense Steam in Lucknow,Entertainment
Nykaa Fashion Keyboard recharge kiya during trip,Shopping
Room Rent subscription Hostel today,Rent
Credit Card Bill bought ICICI using paytm in Agra,Bills
Bata Earbuds bharwaya using cash in Lucknow for family,Shopping
Swiggy Tea pe khaya using cash,Food
Roll paid for Star Bazaar weekend,Food
Star Bazaar Sandwich kharida using phonepe night,Food
Phone Charger this month Shoppers Stop using gpay with friends weekend,Shopping
Meesho Mouse ka payment in Pune with friends,Shopping
Lunch Box using H&M using phonepe evening,Shopping
Westside Headphones se liya,Shopping
Electricity Bill via SBI using upi in Pune,Bills
Paneer weekly Oven Story in Pune for college,Food
Hostel Fee today PG for office,Rent
Movie shopping Netflix daily expense month end,Entertainment
Water Department Internet Bill ka payment in Pune festival shopping today,Bills
Internet Bill purchase Airtel urgent purchase yesterday,Bills
INOX Movie se liya using credit card,Entertainment
Apartment Room Rent ka payment,Rent
Concert booking Xbox using debit card,Entertainment
Flat Hostel Fee ka payment in Noida,Rent
Zepto Tea pe khaya,Food
Books from Croma weekend,Shopping
Paratha subscription Spencer,Food
Face Wash via Puma,Shopping
Perfume this week Boat in Hyderabad birthday afternoon,Shopping
Lassi shopping Theobroma in Noida,Food
Petrol Pump Metro Ticket recharge kiya using phonepe,Travel
Prime Video Arcade liya using debit card,Entertainment
Bowling purchased Spotify in Mumbai after class,Entertainment
House Hostel Fee monthly payment in Noida,Rent
Jio Gas Bill liya for family,Bills
Apartment Flat Rent ka bill using phonepe,Rent
Auto this month AbhiBus using cash,Travel
Pen monthly Tata Cliq in Pune,Shopping
Burger bill Haldirams using upi for office,Food
Insurance purchased Excitel in Agra afternoon,Bills
Bowling this week Disney Hotstar weekend,Entertainment
Concert subscription BookMyShow in Mumbai,Entertainment
PlayStation Store Movie Ticket pe khaya in Hyderabad,Entertainment
Airtel Electricity Bill se liya hostel life,Bills
Recharge this month Electricity Board month end,Bills
Restaurant Rajma Chawal bhar diya using phonepe weekend,Food
Security Deposit purchased Hostel weekend,Rent
Haldirams Ice Cream ke liye payment using credit card night,Food
Noodles subscription Reliance Fresh in Delhi,Food
Dominos Ice Cream monthly payment during vacation,Food
Tea using Barista using upi in Lucknow with friends,Food
Star Bazaar Shawarma ka payment in Bangalore,Food
Bus Ticket subscription Fastag exam week,Travel
Croma Perfume ka bill using cash hostel life,Shopping
Metro Shoes Lipstick pe gaya today,Shopping
Boat Lipstick recharge kiya using debit card in Delhi for family,Shopping
Noodles this month zomato urgent purchase evening,Food
Flat Maintenance ka payment using cash,Rent
Parking bought Air India during trip,Travel
Taxi purchase Akasa using paytm in Lucknow yesterday,Travel
Eggs payment Burger King for hostel,Food
Restaurant Paratha book ki,Food
Yatra Toll Tax kharida monthly,Travel
Theobroma Cold Coffee ka bill,Food
Pantaloons Speaker ka payment using cash evening,Shopping
Flight Ticket recharge AbhiBus using paytm for college,Travel
Hostel Fee using Flat,Rent
Roll bill Zepto in Jaipur after class,Food
Uber Toll Tax bhar diya using phonepe with friends,Travel
Society Room Rent ke liye payment using paytm in Pune exam week yesterday,Rent
PVR Gaming pe gaya using phonepe late night,Entertainment
ICICI EMI monthly payment using credit card,Bills
Phone Charger this month Metro Shoes,Shopping
Chole Bhature from Wow Momo using gpay after class evening,Food
Music yesterday Spotify using phonepe,Entertainment
PlayStation Store Movie order kiya using upi,Entertainment
Akasa Fastag Recharge kharida daily expense,Travel
Gas Bill subscription Excitel using paytm in Jaipur during trip month end,Bills
Headphones monthly Decathlon using credit card month end,Shopping
Chocolate payment Box8 late night afternoon,Food
Dmart Groceries bharwaya for office,Food
Steam Arcade bhar diya,Entertainment
BookMyShow Bowling order kiya in Delhi for office,Entertainment
Metro Flight Ticket ka bill using credit card birthday,Travel
Burger Singh Juice kharida today,Food
Zepto Lunch liya using phonepe in Hyderabad for college,Food
MakeMyTrip Parking monthly payment,Travel
Metro Ticket bill Ola using phonepe in Pune today,Travel
PlayStation Store Movie Ticket mangaya,Entertainment
Diesel payment Parking in Noida,Travel
Shoppers Stop Saree bhar diya using cash in Lucknow,Shopping
BigBasket Fruits ka payment in Bangalore,Food
Spotify Cricket Match book ki,Entertainment
IRCTC Metro Ticket bhar diya for office,Travel
Coffee bought Subway in Jaipur,Food
Petrol Pump Bus Ticket pe khaya birthday evening,Travel
Chocolate this week Subway,Food
Apple Store Speaker order kiya in Bangalore,Shopping
Lunch Box shopping OnePlus Store using debit card weekend,Shopping
Theobroma Paneer se mangaya using phonepe night,Food
Monitor Zara weekend afternoon,Shopping
Security Deposit subscription House using phonepe birthday,Rent
Makeup Kit from Zara hostel life yesterday,Shopping
Music food PlayStation Store morning,Entertainment
Gas Agency EMI liya festival shopping,Bills
Chole Bhature expense Barista during vacation,Food
Hostel Fee today Hostel using phonepe,Rent
Excitel EMI recharge kiya in Hyderabad exam week,Bills
Reliance Jio Internet Bill se mangaya,Bills
PlayStation Store Arcade pe gaya,Entertainment
HDFC Recharge ke liye payment during trip,Bills
Taxi AbhiBus using credit card for family today,Travel
BigBasket Momos se mangaya in Mumbai urgent purchase,Food
Burger King Burger bhar diya,Food
Parking Diesel kharida using phonepe in Hyderabad for office,Travel
Reliance Fresh Smoothie ka payment using upi for college,Food
House Hostel Fee monthly payment using gpay exam week afternoon,Rent
IPL Ticket today BookMyShow in Mumbai,Entertainment
Uniqlo Keyboard liya morning,Shopping
Concert order netflix using paytm during vacation,Entertainment
Lipstick H&M for hostel,Shopping
Apartment Hostel Fee monthly payment using credit card in Bangalore weekend,Rent
Vegetables monthly BigBasket in Mumbai for college today,Food
Instamart Lunch ke liye payment,Food
Instamart Lunch se liya using credit card,Food
Apartment Maintenance bharwaya using gpay in Jaipur,Rent
Petrol paid for Indigo,Travel
Music expense Netflix in Pune,Entertainment
Eggs bought More Supermarket using cash,Food
Cafe Poha liya hostel life,Food
Movie Ticket from Steam using cash in Hyderabad for college,Entertainment
House Flat Rent se liya for family,Rent
Noise Bottle ka payment yesterday,Shopping
Rajma Chawal monthly KFC in Agra,Food
Poha purchase Oven Story using credit card in Lucknow night,Food
Recharge paid for airtell in Agra birthday month end,Bills
Rapido Auto se liya after class,Travel
Steam Arcade recharge kiya in Hyderabad,Entertainment
Lipstick shopping Shoppers Stop using upi night,Shopping
Theobroma Snacks mangaya using debit card,Food
Gas Agency Insurance mangaya in Noida evening,Bills
Movie Ticket monthly PVR birthday,Entertainment
Power Bank order Boat using phonepe in Agra,Shopping
Lifestyle Tempered Glass book ki in Agra hostel life,Shopping
Prime Video Gaming diya using credit card in Noida with friends,Entertainment
Biscuits from CCD in Lucknow morning,Food
House Rent paid for House using cash in Jaipur,Rent
Reliance Fresh Pav Bhaji bhar diya birthday weekend,Food
Ola Bus Ticket pe khaya using upi in Pune,Travel
ACT Fiber Water Bill ke liye payment morning,Bills
Flip Cart Lipstick bhar diya using upi daily expense,Shopping
Box8 Vegetables book ki using gpay during trip,Food
CCD Dinner kharida in Agra,Food
Paratha using Star Bazaar using cash with friends,Food
Faasos Roll pe gaya urgent purchase,Food
Diesel today Metro for family evening,Travel
Cafe Breakfast bharwaya,Food
Xbox Bowling pe khaya using gpay in Jaipur night,Entertainment
Xbox Movie pe khaya during trip,Entertainment
Hostel Fee weekly Flat using credit card exam week,Rent
Recharge bill Gas Agency using phonepe in Hyderabad,Bills
BookMyShow Cricket Match ka payment in Pune weekend,Entertainment
Internet Bill this week Reliance Jio in Bangalore,Bills
Smoothie bill CCD,Food
SpiceJet Diesel mangaya using phonepe month end,Travel
More Supermarket Ice Cream monthly payment using gpay afternoon,Food
Movie Ticket this month PVR in Mumbai late night night,Entertainment
Prime Video Cricket Match diya yesterday,Entertainment
Air India Taxi pe gaya,Travel
Maintenance using Apartment in Noida festival shopping,Rent
Apartment Maintenance kharida,Rent
Zepto Poha se liya,Food
Butter order Reliance Fresh using phonepe late night,Food
IPL Ticket payment Prime Video using upi,Entertainment
Indigo Metro Ticket ka payment,Travel
Rajma Chawal at Cafe in Noida,Food
Mess Dal Rice ke liye payment using upi evening,Food
Woodland Perfume bharwaya,Shopping
Apartment Security Deposit mangaya using credit card in Bangalore hostel life,Rent
Society Room Rent recharge kiya using paytm,Rent
Jeans bought Local Market using credit card late night,Shopping
Noodles from CCD using upi,Food
PG Rent using PG in Agra,Rent
Pasta from KFC birthday,Food
Kurti from Reliance Digital,Shopping
Theobroma Tea recharge kiya in Agra yesterday,Food
Tea Wow Momo in Hyderabad evening,Food
Flight Ticket order Fastag using credit card for hostel,Travel
Cold Coffee yesterday More Supermarket for office,Food
Wow Momo Lunch kharida,Food
Laptop monthly Nike using gpay,Shopping
House Rent bill Hostel using credit card exam week,Rent
Room Hostel Fee diya,Rent
House Rent yesterday Apartment,Rent
Paratha purchased Blinkit using upi in Pune,Food
Petrol paid for Fastag using upi after class,Travel
Fastag Taxi bharwaya during vacation,Travel
CCD Dosa book ki weekend,Food
Coffee via Theobroma using cash,Food
IRCTC Flight Ticket mangaya,Travel
Music expense PVR using gpay for office,Entertainment
Fruits from Star Bazaar today,Food
Ice Cream at Restaurant using upi in Agra festival shopping evening,Food
Lifestyle Watch pe gaya using upi,Shopping
Music subscription Disney Hotstar,Entertainment
Saree payment Meesho in Mumbai,Shopping
PlayStation Store Movie Ticket ke liye payment using gpay festival shopping afternoon,Entertainment
Lunch Box food Flipkart using gpay,Shopping
IPL Ticket bought INOX using debit card in Lucknow,Entertainment
BookMyShow Arcade se mangaya,Entertainment
Shopping Mall Pen mangaya using paytm during trip month end,Shopping
Room Rent this month PG using cash,Rent
Hostel Fee this month PG morning,Rent
Steam Movie Ticket diya,Entertainment
ACT Fiber Insurance mangaya for college,Bills
Cricket Match using Steam using cash,Entertainment
House Rent weekly Society night,Rent
Zepto Ice Cream ka bill late night weekend,Food
Rajma Chawal this month Oven Story using upi yesterday,Food
Airtel Insurance diya for family morning,Bills
Indigo Toll Tax pe gaya using debit card in Pune,Travel
Perfume recharge Nykaa,Shopping
Lipstick payment Nykaa Fashion,Shopping
Watch monthly FireBoltt using phonepe,Shopping
Fastag Petrol ka bill using paytm,Travel
PVR Subscription recharge kiya in Mumbai after class,Entertainment
Metro Fastag Recharge se mangaya daily expense,Travel
Diesel today Akasa,Travel
House Rent from Flat in Jaipur during trip,Rent
Gas Bill expense BSNL using phonepe,Bills
Air India Cab liya,Travel
Speaker subscription Adidas using gpay for office,Shopping
PG Room Rent pe khaya,Rent
Parking paid for Indigo using phonepe,Travel
ICICI Internet Bill ka bill monthly,Bills
Blue Tokai Butter liya hostel life night,Food
Taxi monthly MakeMyTrip using gpay in Agra yesterday,Travel
HDFC Broadband Bill recharge kiya in Jaipur,Bills
Internet Bill booking Broadband in Mumbai monthly,Bills
Wallet from Shoppers Stop using credit card in Lucknow for family,Shopping
Fastag Recharge at Akasa in Pune,Travel
Haldirams Dal Rice recharge kiya using cash,Food
Face Wash weekly Apple Store using paytm for office,Shopping
Tata Cliq Mouse liya in Bangalore weekend,Shopping
Recharge subscription Airtel in Pune,Bills
Gaming expense Netflix in Jaipur with friends,Entertainment
Bowling at PlayStation Store,Entertainment
Makeup Kit this month Myntra,Shopping
Prime Video Movie se mangaya evening,Entertainment
Spotify IPL Ticket pe khaya using phonepe in Bangalore exam week,Entertainment
Water Department EMI bhar diya after class,Bills
Perfume recharge H&M weekend,Shopping
Books using Flipkart,Shopping
IPL Ticket monthly Xbox using paytm in Lucknow,Entertainment
Zara Perfume recharge kiya evening,Shopping
Maintenance booking Hostel using cash in Bangalore exam week,Rent
Metro Parking pe khaya using phonepe during vacation,Travel
House Rent recharge Flat using paytm,Rent
Subway Cold Coffee ka bill,Food
Hostel Mess Vegetables bhar diya,Food
CCD Sandwich bhar diya in Lucknow urgent purchase,Food
Dinner shopping Restaurant using debit card yesterday,Food
Haldirams Tea monthly payment using paytm,Food
Rajma Chawal this week BigBasket yesterday,Food
IPL Ticket paid for INOX using debit card urgent purchase afternoon,Entertainment
Fastag Recharge order Uber using cash in Agra,Travel
Steam Concert se mangaya,Entertainment
Electricity Bill weekly Broadband exam week,Bills
Decathlon T Shirt liya in Delhi,Shopping
Ajio Saree bhar diya in Lucknow festival shopping,Shopping
Room Flat Rent ke liye payment in Noida with friends,Rent
Train Ticket from Goibibo for college,Travel
Internet Bill shopping Broadband using phonepe for college,Bills
Oven Story Roll liya in Jaipur urgent purchase,Food
Paneer booking BigBasket for college,Food
Mouse weekly H&M using gpay in Jaipur,Shopping
Restaurant Snacks ka payment in Pune,Food
Internet Bill expense Excitel,Bills
Prime Video IPL Ticket diya using cash in Lucknow for college,Entertainment
Gift using Nykaa using gpay in Agra for hostel,Shopping
Dosa weekly Dominos,Food
Ice Cream order KFC using paytm morning,Food
Pen via Bata during vacation,Shopping
Saree this week Decathlon in Hyderabad,Shopping
Bikanervala Tea ke liye payment exam week,Food
Adidas Wallet order kiya,Shopping
Gift yesterday Reliance Digital using cash in Mumbai evening,Shopping
Reliance Fresh Evening Snacks monthly payment,Food
Pantaloons Monitor liya evening,Shopping
Room Rent purchase Room using cash in Pune,Rent
Flight Ticket recharge Air India using phonepe evening,Travel
Internet Bill Vi using debit card,Bills
Watch subscription Meesho in Mumbai with friends today,Shopping
Room Hostel Fee book ki using debit card in Jaipur,Rent
Mess Smoothie se liya using credit card festival shopping,Food
Metro Shoes Shoes se mangaya in Bangalore hostel life,Shopping
Gift food Croma,Shopping
Xbox Music monthly payment in Agra during vacation,Entertainment
Max Fashion Bottle pe gaya in Delhi for family today,Shopping
Flipkart Monitor bharwaya in Bangalore for family,Shopping
Indigo Toll Tax se mangaya using paytm,Travel
Instamart Pav Bhaji recharge kiya,Food
IRCTC Petrol recharge kiya using debit card in Pune,Travel
Lifestyle Face Wash mangaya using credit card,Shopping
PVR IPL Ticket ka bill using paytm daily expense,Entertainment
Wow Momo Rajma Chawal liya weekend,Food
IRCTC Taxi pe gaya using phonepe,Travel
Credit Card Credit Card Bill recharge kiya using debit card today,Bills
Dmart Groceries order kiya using debit card in Mumbai,Food
Kurti monthly Reliance Digital in Pune morning,Shopping
IRCTC Cab se liya using upi in Pune today,Travel
Faasos Dinner ka bill after class,Food
Blue Tokai Poha pe gaya using gpay morning today,Food
Noise Jeans liya,Shopping
Hostel Fee subscription House using upi in Mumbai with friends,Rent
Hostel Fee subscription PG in Agra,Rent
Milk Bikanervala,Food
Power Bank purchase Shopping Mall in Bangalore during vacation,Shopping
Diesel yesterday Fastag in Mumbai late night evening,Travel
Noodles at Theobroma,Food
BookMyShow IPL Ticket pe gaya using upi exam week,Entertainment
Meesho Makeup Kit bhar diya,Shopping
Indigo Auto se mangaya using upi in Pune,Travel
Paneer food Behrouz,Food
Dinner bought EatFit using phonepe daily expense,Food
Reliance Fresh Chocolate monthly payment during trip yesterday,Food
Theobroma Idli ka payment,Food
Flat Rent this month Hostel in Noida,Rent
Meesho Speaker ka bill,Shopping
Hostel Mess Dosa se mangaya in Pune month end,Food
Reebok Wallet pe gaya using gpay evening,Shopping
Ola Taxi se liya using paytm,Travel
INOX Concert mangaya for family,Entertainment
Jacket this month Myntra using cash,Shopping
Credit Card Credit Card Bill diya exam week month end,Bills
PlayStation Store Subscription order kiya late night,Entertainment
SBI Water Bill liya using cash in Agra morning,Bills
Mi Store Books bhar diya using phonepe,Shopping
Oven Story Rajma Chawal se liya,Food
Eggs purchase Wow Momo morning,Food
Water Department Insurance bhar diya for office,Bills
Society PG Rent bhar diya for college yesterday,Rent
Lunch food SWIGGY monthly yesterday,Food
PG Rent purchased Flat during vacation,Rent
Maintenance expense House yesterday,Rent
Yatra Petrol diya in Mumbai weekend,Travel
Mi Store Mouse ke liye payment using paytm in Jaipur for hostel,Shopping
Flight Ticket weekly MakeMyTrip using upi,Travel
Spencer Roll ka bill morning,Food
Pizza Hut Biscuits recharge kiya using phonepe during trip,Food
EatFit Biscuits ka bill during vacation,Food
PlayStation Store Movie bharwaya hostel life afternoon,Entertainment
Saree subscription Shoppers Stop monthly,Shopping
Metro Shoes Pen monthly payment in Agra for office,Shopping
Westside Gift bharwaya in Bangalore,Shopping
Parking Cab ka bill in Jaipur,Travel
Petrol food MakeMyTrip using phonepe daily expense,Travel
